mymelody_000.ppm	pink	rabbit	mymelody
mymelody_001.ppm	pink	rabbit	mymelody
mymelody_002.ppm	pink	rabbit	mymelody
mymelody_003.ppm	pink	rabbit	mymelody
mymelody_004.ppm	pink	rabbit	mymelody
mymelody_005.ppm	pink	rabbit	mymelody
mymelody_006.ppm	pink	rabbit	mymelody
mymelody_007.ppm	pink	rabbit	mymelody
mymelody_008.ppm	pink	rabbit	mymelody
mymelody_009.ppm	pink	rabbit	mymelody
kitty_000.ppm	white	cat	kitty
kitty_001.ppm	white	cat	kitty
kitty_002.ppm	white	cat	kitty
kitty_003.ppm	white	cat	kitty
keroppi_000.ppm	green	frog	keroppi
keroppi_001.ppm	green	frog	keroppi
keroppi_002.ppm	green	frog	keroppi
keroppi_003.ppm	green	frog	keroppi
keroppi_004.ppm	green	frog	keroppi
keroppi_005.ppm	green	frog	keroppi
keroppi_006.ppm	green	frog	keroppi
keroppi_007.ppm	green	frog	keroppi
keroppi_008.ppm	green	frog	keroppi
keroppi_009.ppm	green	frog	keroppi
keroppi_010.ppm	green	frog	keroppi
