mymelody_000_pose00.ppm	pink	rabbit	pose00
mymelody_000_pose01.ppm	pink	rabbit	pose01
mymelody_000_pose02.ppm	pink	rabbit	pose02
mymelody_000_pose03.ppm	pink	rabbit	pose03
mymelody_000_pose04.ppm	pink	rabbit	pose04
mymelody_000_pose05.ppm	pink	rabbit	pose05
mymelody_000_pose06.ppm	pink	rabbit	pose06
mymelody_000_pose07.ppm	pink	rabbit	pose07
mymelody_000_pose08.ppm	pink	rabbit	pose08
mymelody_000_pose09.ppm	pink	rabbit	pose09
mymelody_000_pose10.ppm	pink	rabbit	pose10
mymelody_000_pose11.ppm	pink	rabbit	pose11
mymelody_000_pose12.ppm	pink	rabbit	pose12
mymelody_000_pose13.ppm	pink	rabbit	pose13
mymelody_000_pose14.ppm	pink	rabbit	pose14
mymelody_000_pose15.ppm	pink	rabbit	pose15
mymelody_001_pose00.ppm	pink	rabbit	pose00
mymelody_001_pose01.ppm	pink	rabbit	pose01
mymelody_001_pose02.ppm	pink	rabbit	pose02
mymelody_001_pose03.ppm	pink	rabbit	pose03
mymelody_001_pose04.ppm	pink	rabbit	pose04
mymelody_001_pose05.ppm	pink	rabbit	pose05
mymelody_001_pose06.ppm	pink	rabbit	pose06
mymelody_001_pose07.ppm	pink	rabbit	pose07
mymelody_001_pose08.ppm	pink	rabbit	pose08
mymelody_001_pose09.ppm	pink	rabbit	pose09
mymelody_001_pose10.ppm	pink	rabbit	pose10
mymelody_001_pose11.ppm	pink	rabbit	pose11
mymelody_001_pose12.ppm	pink	rabbit	pose12
mymelody_001_pose13.ppm	pink	rabbit	pose13
mymelody_001_pose14.ppm	pink	rabbit	pose14
mymelody_001_pose15.ppm	pink	rabbit	pose15
mymelody_002_pose00.ppm	pink	rabbit	pose00
mymelody_002_pose01.ppm	pink	rabbit	pose01
mymelody_002_pose02.ppm	pink	rabbit	pose02
mymelody_002_pose03.ppm	pink	rabbit	pose03
mymelody_002_pose04.ppm	pink	rabbit	pose04
mymelody_002_pose05.ppm	pink	rabbit	pose05
mymelody_002_pose06.ppm	pink	rabbit	pose06
mymelody_002_pose07.ppm	pink	rabbit	pose07
mymelody_002_pose08.ppm	pink	rabbit	pose08
mymelody_002_pose09.ppm	pink	rabbit	pose09
mymelody_002_pose10.ppm	pink	rabbit	pose10
mymelody_002_pose11.ppm	pink	rabbit	pose11
mymelody_002_pose12.ppm	pink	rabbit	pose12
mymelody_002_pose13.ppm	pink	rabbit	pose13
mymelody_002_pose14.ppm	pink	rabbit	pose14
mymelody_002_pose15.ppm	pink	rabbit	pose15
mymelody_003_pose00.ppm	pink	rabbit	pose00
mymelody_003_pose01.ppm	pink	rabbit	pose01
mymelody_003_pose02.ppm	pink	rabbit	pose02
mymelody_003_pose03.ppm	pink	rabbit	pose03
mymelody_003_pose04.ppm	pink	rabbit	pose04
mymelody_003_pose05.ppm	pink	rabbit	pose05
mymelody_003_pose06.ppm	pink	rabbit	pose06
mymelody_003_pose07.ppm	pink	rabbit	pose07
mymelody_003_pose08.ppm	pink	rabbit	pose08
mymelody_003_pose09.ppm	pink	rabbit	pose09
mymelody_003_pose10.ppm	pink	rabbit	pose10
mymelody_003_pose11.ppm	pink	rabbit	pose11
mymelody_003_pose12.ppm	pink	rabbit	pose12
mymelody_003_pose13.ppm	pink	rabbit	pose13
mymelody_003_pose14.ppm	pink	rabbit	pose14
mymelody_003_pose15.ppm	pink	rabbit	pose15
mymelody_004_pose00.ppm	pink	rabbit	pose00
mymelody_004_pose01.ppm	pink	rabbit	pose01
mymelody_004_pose02.ppm	pink	rabbit	pose02
mymelody_004_pose03.ppm	pink	rabbit	pose03
mymelody_004_pose04.ppm	pink	rabbit	pose04
